网站名,类别,商家名称,地址,人均消费,缩略图,评分
美团,美食,吴氏黄焖鸡米饭,五华区祥云街祥云美食城1楼,14,http://p0.meituan.net/600.600/deal/d73cc14fe1071c7c526f56c1cef67921282823.jpg,4.3
美团,美食,罗家小铺甩手粑粑,五华区宝善街67号祥云美食城内一层A70,10,http://p0.meituan.net/600.600/deal/8f2e6080b1557b81047ceb381777c09971429.jpg,3.1
美团,美食,事外英式居酒屋,五华区南强街巷22号院,137,https://img.meituan.net/600.600/msmerchant/61f289bfa4d7fcbc902926432f7ca5a2215746.jpg,4.3
美团,美食,酒窝甜品（柏联广场店）,五华区三市街6号柏联广场3层,24,http://p1.meituan.net/600.600/deal/dea3c5536c49d12fce8595b9c42d268e75689.jpg,3.8
美团,美食,傣宏缘（南屏街店）,五华区晓东街与南屏街交叉口,31,http://p1.meituan.net/600.600/deal/b6ba59eab6120eecba47c1b41008d4b6196361.jpg,3.8
美团,美食,饭团先生（南强街店）,五华区南强街巷1-6号,14,http://p0.meituan.net/600.600/mogu/b71ef50597814098fcc5133cae33858942074.jpg,3.6
美团,美食,汉堡王（昆明百大店）,五华区东风西路2号百大新天地B1楼01B07至01B12号商铺,32,https://img.meituan.net/600.600/msmerchant/e19d8aa49522601d75ed00d8f4bd1c932447240.jpg,3.8
美团,美食,独门冲重庆烤鱼,五华区祥云美食城2楼（青年会旁）,48,http://p1.meituan.net/600.600/poi/020c6fb787316219b731754839c7991261440.jpg,4.3
美团,美食,法派斯烘焙（宝善街店）,五华区宝善街华尔贝大厦一层商铺附2号,25,https://img.meituan.net/600.600/msmerchant/66d7c6117c0af4c2bad343c784aa2391577534.jpg,4.4
美团,美食,小红楼老派川菜（南强街店）,五华区南强街巷55号（护国派出所旁）,59,https://img.meituan.net/600.600/msmerchant/6f71a0e2bebf16448289192de79e29f4705151.jpg,3
美团,美食,789青年会酒吧,五华区南强街 鼎新街4号基督教青年会内（祥云美食城 南强街 宝善街 南屏步行街 金马坊）,61,http://vfile.meituan.net/600.600/joymerchant/-1928553825898246893-43661438-1532852894376.jpg,3.8
美团,美食,Meat Here澳洲原切牛排（柏联广场店）,五华区三市街6号柏联广场LG1百好负一层03号,100,https://img.meituan.net/600.600/msmerchant/e8be50398aafb0defb8b59c07c6e8eea2196082.png,3.5
美团,美食,唐果茶寮,五华区护国路8号办公用房一楼,15,http://p0.meituan.net/600.600/deal/728920d29d111fa35a308e91453aff8682651.jpg,5
美团,美食,蜀绣1931老火锅,五华区鼎新街4号（基督教青年会旧址、祥云美食城东门对面）,67,http://p1.meituan.net/600.600/mogu/f45eef3e1ae9614a703835ba0b635e95414103.jpg,5
美团,美食,龙邸自助老火锅,五华区东风西路1号昆百大新纪元美食城负一层,0,http://p0.meituan.net/600.600/mogu/3ad7515b641918076daf9dc2fd9924d2389934.jpg,4.7
美团,美食,鲜牛釜清真鲜切牛肉火锅（南强店）,五华区南强街,49,https://img.meituan.net/600.600/msmerchant/742b8a2bcc75a23841bfa4ae18706cc044472.jpg,5
美团,美食,一頭屋东京烧肉  （柏联店）,五华区柏联广场6楼,79,http://p0.meituan.net/600.600/bbia/e546c3130a03ec84c10e67990acb0c44220860.jpg@0_63_500_375a,4
美团,美食,阿橘家鲜果茶饮,五华区南强街92号附1号,18,http://p1.meituan.net/600.600/bbia/f9395809ebe9e4ff77fa130961799137465032.png@239_118_1176_882a,4.4
美团,美食,老房老舍重庆传统火锅（护国路店）,五华区护国路47号（南强街巷漫咖啡对面）,60,http://p0.meituan.net/600.600/mogu/507fcaace4109aae81f20dbdc323a688217305.jpg,5
美团,美食,上九河老火锅,五华区鼎新街基督教青年会对面,33,https://img.meituan.net/600.600/msmerchant/75771e1bdd78315661718d5d26433d88396728.jpg,3.7
美团,美食,人在茶在（百大新天地店）,五华区百大新天地一楼门口旁,20,https://img.meituan.net/600.600/msmerchant/8544be334f6fcf7d48ecd3b751d5b4f33240758.jpg,3.9
美团,美食,大板料理（百大新天地店）,五华区东风西路2号百大新天地8楼（电影院旁）,63,http://p1.meituan.net/600.600/mogu/338326b0f275e74f43305e3a43b0b640360672.jpg,4.2
美团,美食,贡茶（南强街店）,五华区南强街巷8-2商铺,13,http://p1.meituan.net/600.600/dealwatera/f13a0b814290b56cd7dfe577554222c292505.jpg,4.7
美团,美食,卤人甲,五华区南强步行街与端仁巷交叉口西50米,15,http://p0.meituan.net/600.600/deal/e2e64d4b03f113dce55936e15bee7e12116168.jpg,4
美团,美食,南翔馒头店,五华区同仁街柏联广场6楼,20,http://p0.meituan.net/600.600/mogu/4827cfcfebf88f373a8db0ddaa3d16e0316347.jpg,4
美团,美食,重庆鸡公煲,五华区宝善街祥云美食城1楼A42号,20,http://p0.meituan.net/600.600/deal/408993e5143bb1f3d98518e11befa376456339.jpg,4.2
美团,美食,爱尚打包（南强街店）,五华区南强步行街与鼎新街叉口,11,http://p0.meituan.net/600.600/mogu/ff6a5410c45b9d069065388b70afd32624104.jpg,4.1
美团,美食,翻豆腐,五华区南强步行街13--1号,24,http://p1.meituan.net/600.600/mogu/e646fef5e940c0746ffc3c5d41b1482645958.png,3.9
美团,美食,小巷酒馆,五华区宝善街57号1-12-1号（基督教青年会斜对面）,0,http://vfile.meituan.net/600.600/joymerchant/2557638907794392616-45383602-1536922279153.jpg,4.5
美团,美食,食漫去,五华区宝善街南屏时代大厦4楼（工商银行左侧西口入）,56,http://p0.meituan.net/600.600/mogu/1591e1b5335b21cd241d2e562a7980df441808.jpg,5
美团,美食,醉云喃滇味民俗餐厅（柏联店）,五华区三市街6号柏联广场商场第五层508号,73,http://p0.meituan.net/600.600/mogu/024df80e8f2d627c58954d885c10e5d833550.png,3.2
美团,美食,七步香（南强街店）,五华区南强街85号,54,http://p0.meituan.net/feop/d91337976e8f9540e31caaff3eeffd3c57619.png@600w_600h_1l,4
美团,美食,沪上弄堂（南强街店）,五华区南强街中段（五悲咖啡旁）,56,http://p1.meituan.net/600.600/deal/c4c2c175b8c265d224a31aa27afb3433125790.jpg,4.1
美团,美食,老梯坎重庆火锅,五华区府甬道与文林街交叉口旁,55,http://p0.meituan.net/600.600/bbia/d42daeabee97dd82cc9d717ddd6efdfb1679077.png@0_210_662_497a,4.5
美团,美食,梵引闻香.花漾音乐餐吧（翠湖店）,五华区洪化桥路20号君乐酒店附楼2层,65,http://p1.meituan.net/600.600/mogu/ee61caed79e6bf4fa45cd2a16cc81e01122884.jpg,4.1
美团,美食,亚洲吃火锅公司,五华区青云街61号（古滇贡茗茶馆旁）,112,https://img.meituan.net/600.600/msmerchant/c93c8ad4839437d92f8471f85a1f28db700839.jpg,4.4
美团,美食,茴香熙楼,五华区翠湖北路100号（翠湖公园西门对面）,115,https://img.meituan.net/600.600/msmerchant/34ed3490eeae23c865ce9be60b89605e168967.jpg,3.7
美团,美食,美而美休闲餐厅（东风西路店）,五华区凤翥街215号,36,http://p1.meituan.net/600.600/deal/5f0567548f96c37031f058236f8e73da116987.jpg,4
美团,美食,A table法式烘焙,五华区北门街23号,36,https://img.meituan.net/600.600/msmerchant/661d0811eb60826cdd8dee192e7c444a43554.jpg,4
美团,美食,胡九小吃（园西路店）,五华区圆西路72号（圆通电影院对面）,19,http://p1.meituan.net/600.600/mogu/0aab411eb4e20a334cf55e23a976fccd58299.jpg,3.3
美团,美食,石屏会馆,五华区翠湖南路中和巷24号（武成小学旁）,99,http://p0.meituan.net/600.600/deal/201111/17/_1117152150.jpg,3.5
美团,美食,MAPCHA 茶馆,五华区翠湖南路67号,0,https://img.meituan.net/600.600/msmerchant/db269b84e0ad7c2d0bda0d7300fc2b4f142001.jpg,3
美团,美食,凡语文创生活馆,五华区青云街59号,30,https://img.meituan.net/600.600/msmerchant/dfc29ace12c38a2fc2f7ddd20591831e40538.jpg,0
美团,美食,杨光会鲜货火锅,五华区教兴路实力壹方城花千集5C栋2楼,69,http://p1.meituan.net/600.600/mogu/ac7a9e521ad3a3cdc1e40099a4d1a9aa104722.jpg,5
美团,美食,老房老舍重庆传统火锅（教场路店）,五华区教场中路149号华芳雅苑小区1-2层商铺,72,http://p0.meituan.net/600.600/mogu/507fcaace4109aae81f20dbdc323a688217305.jpg,5
美团,美食,嘉华饼屋（教场北路店）,五华区教场北路店龙湖水晶丽城8号楼1层108室,22,http://p1.meituan.net/600.600/mogu/9d4c644086eec929fe97a3e234975388143273.jpg,4.8
美团,美食,Room濡沫酒吧西餐,五华区教兴路实力壹方城17栋b205-206商铺,68,https://img.meituan.net/600.600/msmerchant/653f3b3d2584f63fc5dba0b98afac02a63966.jpg,5
美团,美食,潮辣矿泉水火锅（教场北路店）,五华区教场北路龙湖水晶郦城8栋商业楼2楼,62,https://img.meituan.net/600.600/msmerchant/91fe794e04c08c5cba1bbb908e14e72183723.jpg,5
美团,美食,三不牛腩,五华区龙泉路实力壹方城14-8,69,http://p0.meituan.net/600.600/mogu/290e25a96d0b96a61f9781a3f89999e582299.jpg,5
美团,美食,燚鑫川菜,五华区教场北路龙湖水晶郦城3楼,45,https://img.meituan.net/600.600/msmerchant/090e3b6af612577477f6b7a76b3a0da2147566.jpg,0
美团,美食,HEERETEA东喜鲜萃茶（五华店）,五华区教兴路67号实力壹方城花千集商业步行街17b-208号商铺,16,https://img.meituan.net/600.600/msmerchant/98dd5e30971868fcf9327c4b4d956b9a37805.jpg,5
美团,美食,保山火塘牛肉（教场中路店）,五华区教场中路2号（金色莲华宾馆一楼）,50,http://p0.meituan.net/600.600/mogu/5516e2e0e58e62a6d5f409af905bf98b309350.jpg,5
美团,美食,源萃乌茶邦,五华区教兴路实力一方城花千集店,13,http://p1.meituan.net/600.600/mogu/5cc4a1e83c1b732cf5c390b28710a8f371510.jpg,5
美团,美食,四川雅安木桶鱼,五华区教场中路龙湖水晶郦城商业区8栋4楼（海丽耶旁）,45,https://img.meituan.net/600.600/msmerchant/ba99cd9e1cbd366a7a13bd6fe438751747365.jpg,4.5
美团,美食,福井寿司,五华区教场东路莲花池畔小区13幢1层23号商铺,22,https://img.meituan.net/600.600/msmerchant/095f32e8af41fa5b19e001f370060b1e92146.jpg,5
美团,美食,味之绝美蛙鱼头火锅（教场店）,五华区教场北路1号,66,https://img.meituan.net/600.600/msmerchant/85e7c2ccc99189ff2b4c0c9ae94ae5f168117.jpg,4.4
美团,美食,成都百味记小郡肝砂罐串串（昆明总店）,五华区教场中路龙湖水晶郦城8号楼1层103室,56,http://p0.meituan.net/600.600/mogu/6ba729a5bf955f4d4f89a96fd4d7b1ab60742.jpg,4.5
美团,美食,潮牛潮汕牛肉火锅（教场北路店）,五华区教场北路水晶郦城一楼（校场中路与校场北路交叉口东北角）,49,http://p0.meituan.net/600.600/mogu/b669a8cbea4db05dbcc4cf5098c58490699041.jpg,5
美团,美食,北京胡同涮肉自助火锅,五华区教场中路龙湖水晶郦城8栋商铺内街2楼216号,0,http://p1.meituan.net/600.600/mogu/6cf8452fe425f7481fabb6d19de36585215324.jpg,5
美团,美食,添源铜锅涮牛肉火锅店（实力壹方城花千集店）,五华区教兴路,47,http://p1.meituan.net/600.600/bbia/b0fa50b45baabf518ba9fc623bef76ea298042.jpg@156_33_668_501a,3.5
美团,美食,读书铺酸笋鸡（教场北路店）,五华区教场北路与教场中路交口东100米路南（云南民族大学分部斜对面）,49,http://p1.meituan.net/600.600/deal/f3c2d0ba919d112b80e4ef6972487ccc116212.jpg,4
美团,美食,海丽耶清真餐厅,五华区龙湖美食金街4楼,53,http://p1.meituan.net/600.600/mogu/59804064d6e9e616a03345c2da3e4d9c81364.jpg,5
美团,美食,白小江纸上烤鱼,五华区教兴路花千集17B-108,41,https://img.meituan.net/600.600/msmerchant/15b335316f9667c8723ff178f8c5c4d356305.jpg,4.1
美团,美食,昭通老五黄焖鸡,五华区教场北路龙湖晶悦荟8栋401,39,http://p1.meituan.net/600.600/mogu/21818224d05d3a9a7afc50fa44ab011b312403.jpg,4.4
美团,美食,廖姥爷美蛙鱼头（花千集店）,五华区教兴路花千集,26,https://img.meituan.net/600.600/msmerchant/e58eccb6ab42d5396bc7dbdd14f8cf8a46990.jpg,3.5
美团,美食,面包工坊（教场东路店）,五华区教益路68号戎锦花园小区3栋1层8号商铺,30,http://p1.meituan.net/600.600/mogu/4215715e695a4812476ce834f0193c778697.jpg,3.6
美团,美食,龙门花甲（花千集店）,五华区教兴路,15,https://img.meituan.net/600.600/msmerchant/edf9ad0cf5807da2328cfb7c5c87d8c926033.jpg,4.6
美团,美食,傣族人家（教兴路店）,五华区教兴路2号旅游学校旁,45,http://p0.meituan.net/600.600/mogu/7a02adf810a5be28ab1056ae13d5825c130556.jpg,4.1
美团,美食,土坛酸汤片片鱼（教场中路店）,五华区北教场教场中路101号（北莲华庭旁）,42,http://p1.meituan.net/600.600/mogu/9979eb813522b185fbac3a5ab063d61558343.jpg,4.6
美团,美食,厨家人,五华区教场北路67号花千集商业步行街5Ｃ栋102号,30,https://img.meituan.net/600.600/msmerchant/f9ba1355cf1108e9586625a2fddb4ee585464.jpg,0
美团,美食,快乐厨师（巴士家园店）,五华区教场北路126号公交12号商铺,16,http://p0.meituan.net/600.600/deal/__47366713__7803147.jpg,4.9
美团,美食,朴拾海鲜火锅烧烤自助坊,五华区教兴路花千集5C栋104,0,http://p1.meituan.net/600.600/mogu/e7da6964c47e82e2b3985b5c3a9a013d43226.jpg,4.8
美团,美食,荔枝青年火锅,五华区教兴路实力壹方城花千集,50,http://p0.meituan.net/600.600/mogu/af9c115619097690d273422a4743c93881502.jpg,3.5
美团,美食,武定野菌缘总店,五华区龙湖水晶郦城404号,54,http://p1.meituan.net/600.600/dealwatera/bc386627ca57aec1724f9e9a2b1ab72276893.jpg,4.4
美团,美食,雪兰社区鲜奶亭（贵研自然界店形象店）,五华区昆明二环北路与龙泉路交汇处以北贵研自然界小区广场银行提款机旁,25,http://p0.meituan.net/600.600/mogu/a863c92578d076f5b68aa6f3ab7b5fd978319.jpg,0
美团,美食,玖克酒吧BAR,五华区教益路158号29栋4单元一号楼（爱维故事）,0,http://p0.meituan.net/600.600/deal/db9ee66851f88e98e4e230d3fd6231a91609682.png,0
美团,美食,吴记正宗富源酸菜猪脚,五华区教益路25号长城小区底商中国民生银行旁,38,http://p1.meituan.net/600.600/deal/ed55a15d0101ea6886b8341149f0b63b31737.jpg,0
美团,美食,蜀烩冒菜,五华区教场中路316号,20,http://p0.meituan.net/600.600/waimaipoi/40bad45a4a62c591af56e22da133032f227328.jpg,3
